crate/cratesio/-/allocator-api2/0.2.21, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/anyhow/1.0.104, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #16097
crate/cratesio/-/arraydeque/0.5.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/async-trait/0.1.92, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #6666
crate/cratesio/-/atoi/2.0.0, MIT, approved, clearlydefined
crate/cratesio/-/atomic-waker/1.1.2, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/aws-lc-rs/1.16.1, Apache-2.0 OR ISC AND (Apache-2.0 AND ISC) AND (Apache-2.0 OR ISC) AND (Apache-2.0 OR ISC), approved, #31088
crate/cratesio/-/aws-lc-sys/0.38.0, Apache-2.0 AND ISC AND (Apache-2.0 OR ISC) AND ((Apache-2.0 OR ISC) AND OpenSSL) AND (Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND GPL-2.0-only AND ISC AND LicenseRef-scancode-openssl AND LicenseRef-scancode-ssleay-windows AND MIT AND OpenSSL) AND (MIT OR CC0-1.0) AND (LicenseRef-scancode-openssl AND LicenseRef-scancode-ssleay-windows) AND (BSD-3-Clause AND OpenSSL) AND (BSD-3-Clause AND GPL-1.0-or-later AND OpenSSL) AND (LicenseRef-scancode-openssl AND OpenSSL) AND (Apache-2.0 OR ISC OR MIT) AND (BSD-3-Clause AND GPL-2.0-only AND OpenSSL) AND (LicenseRef-scancode-openssl AND LicenseRef-scancode-openssl-nokia-psk-contribution AND LicenseRef-scancode-ssleay-windows) AND (LicenseRef-scancode-openssl AND LicenseRef-scancode-openssl-nokia-psk-contribution AND LicenseRef-scancode-ssleay-windows AND OpenSSL) AND (LicenseRef-scancode-proprietary-license AND LicenseRef-scancode-ssleay-windows) AND (LicenseRef-scancode-openssl-nokia-psk-contribution AND LicenseRef-scancode-ssleay-windows) AND (BSD-3-Clause AND GPL, restricted, #31085
crate/cratesio/-/axum-core/0.5.6, MIT, approved, clearlydefined
crate/cratesio/-/axum-extra/0.12.6, MIT, approved, #31080
crate/cratesio/-/axum-macros/0.5.1, MIT, approved, #31083
crate/cratesio/-/axum/0.8.9, MIT, approved, #27199
crate/cratesio/-/base64/0.22.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #14618
crate/cratesio/-/base64/0.23.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/bitflags/2.10.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/block-buffer/0.10.4, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/bon-macros/3.9.3, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/bon/3.9.3, Apache-2.0 AND MIT, approved, #31087
crate/cratesio/-/byteorder/1.5.0, Unlicense OR MIT, approved, clearlydefined
crate/cratesio/-/bytes/1.11.1, MIT, approved, #26020
crate/cratesio/-/cfg-if/1.0.4, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/chrono/0.4.45, Apache-2.0 AND MIT, approved, #25679
crate/cratesio/-/concurrent-queue/2.5.0, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/config/0.15.25, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/const-random-macro/0.1.16, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/const-random/0.1.18, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/convert_case/0.6.0, MIT, approved, clearlydefined
crate/cratesio/-/cpufeatures/0.2.17, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #16101
crate/cratesio/-/crc-catalog/2.4.0, Apache-2.0 AND MIT, approved, #31078
crate/cratesio/-/crc/3.4.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/crossbeam-queue/0.3.12, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30073
crate/cratesio/-/crossbeam-utils/0.8.21, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30082
crate/cratesio/-/crunchy/0.2.4, MIT, approved, clearlydefined
crate/cratesio/-/crypto-common/0.1.7, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/darling/0.21.3, MIT, approved, clearlydefined
crate/cratesio/-/darling_core/0.21.3, MIT, approved, clearlydefined
crate/cratesio/-/darling_macro/0.21.3, MIT, approved, clearlydefined
crate/cratesio/-/digest/0.10.7, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/displaydoc/0.2.5, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17430
crate/cratesio/-/dlv-list/0.5.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/dotenvy/0.15.7, MIT, approved, clearlydefined
crate/cratesio/-/either/1.15.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #20272
crate/cratesio/-/encoding_rs/0.8.35, Apache-2.0 AND BSD-3-Clause AND MIT AND Apache-2.0 AND (Apache-2.0 AND CC0-1.0 AND MIT) AND MIT AND BSD-3-Clause AND (Apache-2.0 AND BSD-3-Clause AND CC0-1.0 AND MIT) AND (Apache-2.0 AND MIT) AND CC0-1.0, approved, #9762
crate/cratesio/-/equivalent/1.0.2, Apache-2.0 OR MIT, approved, clearlydefined
